MSOA21CD,LAT,LONG,msoa21cd,ladnm,Eligible,In_Sample
E02001240,53.48912811279297,-2.162130117416382,E02001240,Tameside,0,0
E02001241,53.48324966430664,-2.106879949569702,E02001241,Tameside,1,0
E02001242,53.47267150878906,-2.137360095977783,E02001242,Tameside,0,0
E02001243,53.47261047363281,-2.0436999797821045,E02001243,Tameside,0,0
E02001244,53.47554016113281,-2.061579942703247,E02001244,Tameside,0,0
E02001245,53.479671478271484,-2.0928499698638916,E02001245,Tameside,1,0
E02001246,53.47148132324219,-2.0737500190734863,E02001246,Tameside,1,0
E02001247,53.46989059448242,-2.11614990234375,E02001247,Tameside,1,0
E02001248,53.46126937866211,-2.0828299522399902,E02001248,Tameside,1,0
E02001249,53.458648681640625,-2.1106200218200684,E02001249,Tameside,1,0
E02001250,53.45439147949219,-2.052380084991455,E02001250,Tameside,0,0
E02001251,53.46466064453125,-2.006150007247925,E02001251,Tameside,0,0
E02001252,53.45463943481445,-2.141979932785034,E02001252,Tameside,0,0
E02001253,53.449100494384766,-2.1294798851013184,E02001253,Tameside,0,0
E02001254,53.45471954345703,-2.1001501083374023,E02001254,Tameside,0,0
E02001255,53.45241928100586,-2.0281500816345215,E02001255,Tameside,1,0
E02001256,53.448001861572266,-2.0762500762939453,E02001256,Tameside,1,0
E02001257,53.44137954711914,-2.1079699993133545,E02001257,Tameside,1,0
E02001258,53.436519622802734,-2.058500051498413,E02001258,Tameside,0,0
E02001259,53.46430969238281,-2.271549940109253,E02001259,Trafford,1,1
E02001260,53.46773910522461,-2.3387598991394043,E02001260,Trafford,0,1
E02001261,53.457401275634766,-2.299069881439209,E02001261,Trafford,1,1
E02001262,53.454471588134766,-2.2779200077056885,E02001262,Trafford,1,1
E02001263,53.457889556884766,-2.3752501010894775,E02001263,Trafford,0,1
E02001264,53.4633903503418,-2.3095901012420654,E02001264,Trafford,0,1
E02001265,53.44620132446289,-2.3960299491882324,E02001265,Trafford,0,1
E02001266,53.44047927856445,-2.3248400688171387,E02001266,Trafford,1,1
E02001267,53.44194030761719,-2.3500399589538574,E02001267,Trafford,0,1
E02001268,53.44490051269531,-2.365649938583374,E02001268,Trafford,0,1
E02001269,53.4445686340332,-2.3033299446105957,E02001269,Trafford,1,1
E02001270,53.42839813232422,-2.3278400897979736,E02001270,Trafford,0,1
E02001271,53.43014144897461,-2.3459200859069824,E02001271,Trafford,0,1
E02001272,53.42662811279297,-2.302500009536743,E02001272,Trafford,0,1
E02001273,53.41967010498047,-2.318619966506958,E02001273,Trafford,0,1
E02001274,53.419471740722656,-2.3465800285339355,E02001274,Trafford,0,1
E02001275,53.4252815246582,-2.3929901123046875,E02001275,Trafford,1,1
E02001276,53.4193000793457,-2.2897400856018066,E02001276,Trafford,0,1
E02001277,53.40665817260742,-2.36286997795105,E02001277,Trafford,1,1
E02001278,53.40496063232422,-2.340820074081421,E02001278,Trafford,0,1
E02001279,53.406410217285156,-2.3255300521850586,E02001279,Trafford,0,1
